,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
58,55,Brandin Podziemski,"Oct 30, '23, GSW @ NOP",20,1,28,660,100,211,39,91,20,31,41,148,89,28,5,37,51,259,.474,.429,.645,23.6,9.3,5.3,3.2,2023
59,56,Craig Porter Jr.,"Oct 28, '23, CLE vs. IND",23,1,23,383,71,141,7,20,24,37,13,62,76,16,11,23,24,173,.504,.350,.649,16.7,7.5,2.7,3.3,2023
60,57,Olivier-Maxence Prosper,"Nov 3, '23, DAL @ DEN",21,1,22,201,19,56,6,28,19,27,14,46,16,2,2,4,13,63,.339,.214,.704,9.1,2.9,2.1,0.7,2023
61,58,Duop Reath,"Nov 12, '23, POR @ LAL",27,1,21,311,61,138,28,79,24,26,24,64,21,12,7,15,44,174,.442,.354,.923,14.8,8.3,3.0,1.0,2023
62,59,Rayan Rupert,"Oct 25, '23, POR @ LAC",19,1,8,36,1,13,1,6,2,4,1,1,4,2,0,2,1,5,.077,.167,.500,4.5,0.6,0.1,0.5,2023
63,60,Jermaine Samuels,"Oct 25, '23, HOU @ ORL",25,1,6,38,5,7,0,2,2,2,1,8,2,1,1,0,3,12,.714,.000,1.000,6.3,2.0,1.3,0.3,2023
64,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2023
65,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2023
66,61,Adama Sanogo,"Dec 28, '23, CHI vs. IND",21,1,3,11,3,3,0,0,2,3,2,6,0,0,0,1,0,8,1.000,,.667,3.7,2.7,2.0,0.0,2023
67,62,Gui Santos,"Nov 16, '23, GSW vs. OKC",21,1,4,22,4,7,1,3,4,4,4,8,1,0,0,2,3,13,.571,.333,1.000,5.5,3.3,2.0,0.3,2023
68,63,Marcus Sasser,"Oct 25, '23, DET @ MIA",23,1,30,477,84,173,36,84,18,21,4,48,70,18,5,25,42,222,.486,.429,.857,15.9,7.4,1.6,2.3,2023
69,64,Brice Sensabaugh,"Oct 25, '23, UTA vs. SAC",20,1,2,5,0,2,0,0,0,0,1,3,0,0,0,0,0,0,.000,,,2.5,0.0,1.5,0.0,2023
70,65,Ben Sheppard,"Oct 25, '23, IND vs. WAS",22,1,14,93,15,35,7,22,4,6,2,8,8,4,0,1,11,41,.429,.318,.667,6.6,2.9,0.6,0.6,2023
71,66,Dmytro Skapintsev,"Dec 23, '23, NYK vs. MIL",25,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.0,0.0,0.0,0.0,2023
72,67,Jalen Slawson,"Nov 15, '23, SAC @ LAL",24,1,5,19,2,3,0,1,0,0,0,4,2,0,1,2,3,4,.667,.000,,3.8,0.8,0.8,0.4,2023
73,68,Nick Smith Jr.,"Oct 25, '23, CHO vs. ATL",19,1,17,211,40,87,23,47,2,2,7,18,14,1,7,10,19,105,.460,.489,1.000,12.4,6.2,1.1,0.8,2023
74,69,Julian Strawther,"Oct 27, '23, DEN @ MEM",21,1,33,458,71,185,37,115,16,23,4,49,36,16,6,15,47,195,.384,.322,.696,13.9,5.9,1.5,1.1,2023
75,70,Amen Thompson,"Oct 25, '23, HOU @ ORL",21,1,13,204,27,61,4,20,14,25,9,45,22,8,2,13,23,72,.443,.200,.560,15.7,5.5,3.5,1.7,2023
76,71,Ausar Thompson,"Oct 25, '23, DET @ MIA",21,1,34,846,124,270,9,60,44,65,78,238,74,28,37,52,105,301,.459,.150,.677,24.9,8.9,7.0,2.2,2023
77,72,Jacob Toppin,"Dec 5, '23, NYK @ MIL",23,1,3,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,1.3,0.0,0.0,0.3,2023
78,73,Oscar Tshiebwe,"Dec 9, '23, IND @ LAL",24,1,3,17,4,8,0,0,3,4,2,5,2,0,0,0,1,11,.500,,.750,5.7,3.7,1.7,0.7,2023
79,74,Hunter Tyson,"Oct 29, '23, DEN @ OKC",23,1,8,20,1,4,0,3,0,0,0,5,1,0,0,0,5,2,.250,.000,,2.5,0.3,0.6,0.1,2023
80,75,Sasha Vezenkov,"Oct 25, '23, SAC @ UTA",28,1,27,348,53,124,29,79,6,8,20,70,13,13,6,9,28,141,.427,.367,.750,12.9,5.2,2.6,0.5,2023
81,76,Jarace Walker,"Oct 25, '23, IND vs. WAS",20,1,10,87,12,28,3,11,6,7,1,12,11,4,3,3,11,33,.429,.273,.857,8.7,3.3,1.2,1.1,2023
82,77,Cason Wallace,"Oct 25, '23, OKC @ CHI",20,1,33,712,89,166,35,81,16,19,16,69,51,20,14,16,58,229,.536,.432,.842,21.6,6.9,2.1,1.5,2023
83,78,Victor Wembanyama,"Oct 25, '23, SAS vs. DAL",20,1,30,879,214,477,44,151,103,131,65,304,85,36,96,97,69,575,.449,.291,.786,29.3,19.2,10.1,2.8,2023
84,79,Cam Whitmore,"Oct 25, '23, HOU @ ORL",19,1,9,88,25,46,9,21,7,14,4,19,3,5,1,4,9,66,.543,.429,.500,9.8,7.3,2.1,0.3,2023
85,80,Jalen Wilson,"Nov 1, '23, BRK @ MIA",23,1,11,104,16,32,2,8,15,15,15,24,9,3,1,3,9,49,.500,.250,1.000,9.5,4.5,2.2,0.8,2023
