,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
72,Jalen Slawson,24,1,5,19,2,3,0,1,0,0,0,4,2,0,1,2,3,4,0.667,0.0,,3.8,0.8,0.8,0.4,2023
73,Nick Smith Jr.,19,1,17,211,40,87,23,47,2,2,7,18,14,1,7,10,19,105,0.46,0.489,1.0,12.4,6.2,1.1,0.8,2023
74,Julian Strawther,21,1,33,458,71,185,37,115,16,23,4,49,36,16,6,15,47,195,0.384,0.322,0.696,13.9,5.9,1.5,1.1,2023
75,Amen Thompson,21,1,13,204,27,61,4,20,14,25,9,45,22,8,2,13,23,72,0.443,0.2,0.56,15.7,5.5,3.5,1.7,2023
76,Ausar Thompson,21,1,34,846,124,270,9,60,44,65,78,238,74,28,37,52,105,301,0.459,0.15,0.677,24.9,8.9,7.0,2.2,2023
77,Jacob Toppin,23,1,3,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,1.3,0.0,0.0,0.3,2023
78,Oscar Tshiebwe,24,1,3,17,4,8,0,0,3,4,2,5,2,0,0,0,1,11,0.5,,0.75,5.7,3.7,1.7,0.7,2023
79,Hunter Tyson,23,1,8,20,1,4,0,3,0,0,0,5,1,0,0,0,5,2,0.25,0.0,,2.5,0.3,0.6,0.1,2023
80,Sasha Vezenkov,28,1,27,348,53,124,29,79,6,8,20,70,13,13,6,9,28,141,0.427,0.367,0.75,12.9,5.2,2.6,0.5,2023
81,Jarace Walker,20,1,10,87,12,28,3,11,6,7,1,12,11,4,3,3,11,33,0.429,0.273,0.857,8.7,3.3,1.2,1.1,2023
82,Cason Wallace,20,1,33,712,89,166,35,81,16,19,16,69,51,20,14,16,58,229,0.536,0.432,0.842,21.6,6.9,2.1,1.5,2023
83,Victor Wembanyama,20,1,30,879,214,477,44,151,103,131,65,304,85,36,96,97,69,575,0.449,0.291,0.786,29.3,19.2,10.1,2.8,2023
84,Cam Whitmore,19,1,9,88,25,46,9,21,7,14,4,19,3,5,1,4,9,66,0.543,0.429,0.5,9.8,7.3,2.1,0.3,2023
85,Jalen Wilson,23,1,11,104,16,32,2,8,15,15,15,24,9,3,1,3,9,49,0.5,0.25,1.0,9.5,4.5,2.2,0.8,2023
