,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,Pts Won,Pts Max,Share
853,Cody Zeller,21,11,534,11421,1637,3152,32,148,1039,1429,1048,3084,728,327,328,544,1345,4345,0.519,0.216,0.727,21.4,8.1,5.8,1.4,2014,0.0,0.0,0.0
854,Jordan Adams,20,2,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,0.402,0.385,0.607,8.2,3.2,0.9,0.6,2015,0.0,0.0,0.0
855,Furkan Aldemir,23,1,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,0.513,0.0,0.481,13.2,2.3,4.3,0.7,2015,0.0,0.0,0.0
856,Kyle Anderson,21,10,607,13295,1653,3444,258,763,665,933,463,2707,1629,614,385,637,943,4229,0.48,0.338,0.713,21.9,7.0,4.5,2.7,2015,0.0,0.0,0.0
857,Cameron Bairstow,24,2,36,167,16,54,1,5,11,13,10,36,7,4,4,7,27,44,0.296,0.2,0.846,4.6,1.2,1.0,0.2,2015,0.0,0.0,0.0
858,Jerrelle Benimon,23,1,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,,,,1.5,0.0,1.5,0.0,2015,0.0,0.0,0.0
859,Sim Bhullar,22,1,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,0.5,,,1.0,0.7,0.3,0.3,2015,0.0,0.0,0.0
860,Tarik Black,23,4,220,3319,439,798,2,14,195,335,393,1031,110,83,116,163,516,1075,0.55,0.143,0.582,15.1,4.9,4.7,0.5,2015,0.0,0.0,0.0
861,Bojan Bogdanović,25,10,677,19925,3670,7976,1424,3613,1857,2156,369,2465,1140,380,51,1139,1127,10621,0.46,0.394,0.861,29.4,15.7,3.6,1.7,2015,0.0,0.0,0.0
862,Jabari Brown,22,1,19,568,70,170,23,62,64,85,3,36,40,12,2,32,33,227,0.412,0.371,0.753,29.9,11.9,1.9,2.1,2015,0.0,0.0,0.0
863,Markel Brown,23,3,113,1794,205,539,56,190,118,151,40,234,132,69,27,83,157,584,0.38,0.295,0.781,15.9,5.2,2.1,1.2,2015,0.0,0.0,0.0
864,Bruno Caboclo,19,7,105,1293,162,402,62,201,56,67,82,268,72,36,59,69,135,442,0.403,0.308,0.836,12.3,4.2,2.6,0.7,2015,0.0,0.0,0.0
865,Clint Capela,20,10,568,15185,3060,4892,0,4,893,1648,2083,6087,561,393,846,613,1374,7013,0.626,0.0,0.542,26.7,12.3,10.7,1.0,2015,0.0,0.0,0.0
866,Will Cherry,23,1,8,69,5,19,2,9,3,6,1,5,8,6,1,4,10,15,0.263,0.222,0.5,8.6,1.9,0.6,1.0,2015,0.0,0.0,0.0
867,Patrick Christopher,26,1,4,29,3,12,0,4,0,0,2,6,0,1,0,1,6,6,0.25,0.0,,7.3,1.5,1.5,0.0,2015,0.0,0.0,0.0
868,Jordan Clarkson,22,10,686,18936,4111,9369,1271,3771,1439,1737,602,2310,1927,567,104,1261,1172,10932,0.439,0.337,0.828,27.6,15.9,3.4,2.8,2015,2.0,650.0,0.003
869,Jack Cooley,23,2,23,174,22,49,0,0,23,40,24,55,7,7,3,6,36,67,0.449,,0.575,7.6,2.9,2.4,0.3,2015,0.0,0.0,0.0
870,Bryce Cotton,22,2,23,198,33,79,7,23,15,18,3,18,18,7,0,17,8,88,0.418,0.304,0.833,8.6,3.8,0.8,0.8,2015,0.0,0.0,0.0
871,Andre Dawkins,23,1,4,22,1,6,1,6,0,0,0,2,1,0,0,1,3,3,0.167,0.167,,5.5,0.8,0.5,0.3,2015,0.0,0.0,0.0
872,Spencer Dinwiddie,21,10,499,13968,2237,5392,799,2412,1592,2009,228,1565,2661,356,134,866,1143,6865,0.415,0.331,0.792,28.0,13.8,3.1,5.3,2015,0.0,0.0,0.0
873,Zoran Dragić,25,1,16,75,11,30,3,14,3,5,5,8,5,2,0,5,6,28,0.367,0.214,0.6,4.7,1.8,0.5,0.3,2015,0.0,0.0,0.0
874,Larry Drew II,24,2,22,289,27,82,7,35,2,3,4,18,55,6,0,28,19,63,0.329,0.2,0.667,13.1,2.9,0.8,2.5,2015,0.0,0.0,0.0
875,Cleanthony Early,23,2,56,801,88,254,26,99,39,52,26,123,42,26,15,49,73,241,0.346,0.263,0.75,14.3,4.3,2.2,0.8,2015,0.0,0.0,0.0
876,James Ennis III,24,8,395,8022,907,1985,317,880,498,625,393,1306,373,244,113,303,792,2629,0.457,0.36,0.797,20.3,6.7,3.3,0.9,2015,0.0,0.0,0.0
877,Tyler Ennis,20,4,186,2336,320,763,66,208,73,95,48,250,359,98,18,171,233,779,0.419,0.317,0.768,12.6,4.2,1.3,1.9,2015,0.0,0.0,0.0
878,Dante Exum,19,7,275,5131,620,1445,195,609,234,307,109,528,601,119,49,334,477,1669,0.429,0.32,0.762,18.7,6.1,1.9,2.2,2015,0.0,0.0,0.0
879,Tim Frazier,24,8,289,5088,515,1286,131,405,251,347,139,654,1142,193,26,379,517,1412,0.4,0.323,0.723,17.6,4.9,2.3,4.0,2015,0.0,0.0,0.0
880,Langston Galloway,23,8,452,9840,1304,3286,639,1738,409,501,212,1106,732,304,64,269,704,3656,0.397,0.368,0.816,21.8,8.1,2.4,1.6,2015,0.0,0.0,0.0
881,Aaron Gordon,19,10,626,18288,3204,6741,663,2049,1345,1969,1090,3959,1614,471,405,931,1230,8416,0.475,0.324,0.683,29.2,13.4,6.3,2.6,2015,0.0,0.0,0.0
882,Drew Gordon,24,1,9,71,8,19,0,3,1,2,7,18,2,1,0,8,7,17,0.421,0.0,0.5,7.9,1.9,2.0,0.2,2015,0.0,0.0,0.0
883,Jerami Grant,20,10,647,17696,2829,6203,791,2181,1800,2429,562,2582,973,418,689,803,1483,8249,0.456,0.363,0.741,27.4,12.7,4.0,1.5,2015,0.0,0.0,0.0
884,Erick Green,23,2,52,452,66,175,15,52,12,14,10,37,42,13,0,14,30,159,0.377,0.288,0.857,8.7,3.1,0.7,0.8,2015,0.0,0.0,0.0
885,JaMychal Green,24,9,544,10933,1579,3311,430,1170,620,791,891,2986,496,298,226,570,1389,4208,0.477,0.368,0.784,20.1,7.7,5.5,0.9,2015,0.0,0.0,0.0
886,P.J. Hairston,22,2,111,2000,232,677,119,404,81,100,47,266,59,53,24,63,198,664,0.343,0.295,0.81,18.0,6.0,2.4,0.5,2015,0.0,0.0,0.0
887,Gary Harris,20,10,543,15273,2255,5042,835,2270,770,946,318,1306,1074,615,118,599,977,6115,0.447,0.368,0.814,28.1,11.3,2.4,2.0,2015,0.0,0.0,0.0
888,Joe Harris,23,10,500,12266,1887,3941,1023,2348,377,489,264,1519,789,241,95,521,1005,5174,0.479,0.436,0.771,24.5,10.3,3.0,1.6,2015,0.0,0.0,0.0
889,Rodney Hood,22,8,448,10977,1688,4023,647,1770,633,753,158,1160,736,301,80,426,855,4656,0.42,0.366,0.841,24.5,10.4,2.6,1.6,2015,0.0,0.0,0.0
890,Joe Ingles,27,10,660,16639,1951,4358,1178,2884,448,578,213,2108,2445,595,99,1002,1210,5528,0.448,0.408,0.775,25.2,8.4,3.2,3.7,2015,0.0,0.0,0.0
891,Cory Jefferson,24,2,58,581,84,189,2,16,35,60,53,161,16,10,22,20,69,205,0.444,0.125,0.583,10.0,3.5,2.8,0.3,2015,0.0,0.0,0.0
892,Grant Jerrett,21,1,8,51,7,26,1,15,1,1,2,9,3,2,2,3,11,16,0.269,0.067,1.0,6.4,2.0,1.1,0.4,2015,0.0,0.0,0.0
893,Nick Johnson,22,1,28,262,26,75,5,21,17,25,13,39,11,7,3,19,34,74,0.347,0.238,0.68,9.4,2.6,1.4,0.4,2015,0.0,0.0,0.0
894,Tyler Johnson,22,8,354,8709,1246,2924,438,1217,539,692,187,1069,813,288,140,373,637,3469,0.426,0.36,0.779,24.6,9.8,3.0,2.3,2015,0.0,0.0,0.0
895,Sean Kilpatrick,25,4,157,3082,545,1319,194,579,332,385,40,429,236,73,13,206,191,1616,0.413,0.335,0.862,19.6,10.3,2.7,1.5,2015,0.0,0.0,0.0
896,Alex Kirk,23,1,5,14,1,4,0,0,2,2,1,1,1,0,0,0,1,4,0.25,,1.0,2.8,0.8,0.2,0.2,2015,0.0,0.0,0.0
897,Joffrey Lauvergne,23,4,208,2823,477,995,49,172,156,217,239,789,180,55,34,165,286,1159,0.479,0.285,0.719,13.6,5.6,3.8,0.9,2015,0.0,0.0,0.0
898,Zach LaVine,19,10,573,18622,4189,9030,1278,3345,2101,2519,269,2309,2248,509,167,1501,1235,11757,0.464,0.382,0.834,32.5,20.5,4.0,3.9,2015,0.0,0.0,0.0
899,Kalin Lucas,25,2,2,12,0,2,0,1,2,2,0,3,1,1,0,0,2,2,0.0,0.0,1.0,6.0,1.0,1.5,0.5,2015,0.0,0.0,0.0
900,Devyn Marble,22,2,44,457,35,115,12,54,15,40,11,69,29,22,3,16,39,97,0.304,0.222,0.375,10.4,2.2,1.6,0.7,2015,0.0,0.0,0.0
901,James Michael McAdoo,22,4,111,874,133,252,5,17,63,118,79,188,37,33,47,42,108,334,0.528,0.294,0.534,7.9,3.0,1.7,0.3,2015,0.0,0.0,0.0
902,K.J. McDaniels,21,3,148,2092,278,675,70,241,156,201,96,324,95,70,94,151,205,782,0.412,0.29,0.776,14.1,5.3,2.2,0.6,2015,0.0,0.0,0.0
903,Doug McDermott,23,10,622,12820,2137,4520,896,2177,512,632,252,1406,630,135,61,419,927,5682,0.473,0.412,0.81,20.6,9.1,2.3,1.0,2015,0.0,0.0,0.0
904,Mitch McGary,22,2,52,557,99,188,0,6,29,50,57,183,17,17,18,38,82,227,0.527,0.0,0.58,10.7,4.4,3.5,0.3,2015,0.0,0.0,0.0
905,Jerel McNeal,27,1,6,36,3,11,1,2,2,2,0,3,2,3,1,5,5,9,0.273,0.5,1.0,6.0,1.5,0.5,0.3,2015,0.0,0.0,0.0
906,Elijah Millsap,27,3,69,1120,93,284,29,104,72,106,37,191,78,63,19,78,159,287,0.327,0.279,0.679,16.2,4.2,2.8,1.1,2015,0.0,0.0,0.0
907,Nikola Mirotić,23,5,319,7718,1303,3084,614,1712,690,854,301,1894,407,240,228,381,666,3910,0.423,0.359,0.808,24.2,12.3,5.9,1.3,2015,335.0,650.0,0.515
908,Eric Moreland,23,4,83,898,73,136,1,1,13,33,88,310,83,32,56,50,130,160,0.537,1.0,0.394,10.8,1.9,3.7,1.0,2015,0.0,0.0,0.0
909,Shabazz Napier,23,6,345,5986,808,2034,345,1000,472,579,104,657,849,286,48,452,404,2433,0.397,0.345,0.815,17.4,7.1,1.9,2.5,2015,0.0,0.0,0.0
910,Nerlens Noel,20,9,467,10281,1375,2518,3,15,585,893,898,2835,501,588,683,593,1192,3338,0.546,0.2,0.655,22.0,7.1,6.1,1.1,2015,141.0,650.0,0.217
911,Lucas Nogueira,22,4,141,1754,182,288,9,34,73,114,120,388,72,89,144,75,221,446,0.632,0.265,0.64,12.4,3.2,2.8,0.5,2015,0.0,0.0,0.0
912,Jusuf Nurkić,20,10,495,12100,2402,4793,94,329,1217,1804,1255,4312,1166,445,571,1055,1582,6115,0.501,0.286,0.675,24.4,12.4,8.7,2.4,2015,3.0,650.0,0.005
913,Johnny O'Bryant,21,4,147,1684,213,530,18,50,65,98,129,352,69,32,19,77,199,509,0.402,0.36,0.663,11.5,3.5,2.4,0.5,2015,0.0,0.0,0.0
914,Kostas Papanikolaou,24,2,69,1089,93,263,41,138,22,32,47,158,101,42,18,76,95,249,0.354,0.297,0.688,15.8,3.6,2.3,1.5,2015,0.0,0.0,0.0
915,Jabari Parker,19,8,310,8535,1767,3579,212,651,634,853,449,1703,610,271,118,534,627,4380,0.494,0.326,0.743,27.5,14.1,5.5,2.0,2015,0.0,0.0,0.0
916,Adreian Payne,23,4,107,1403,174,429,15,59,66,97,79,315,66,45,27,90,203,429,0.406,0.254,0.68,13.1,4.0,2.9,0.6,2015,0.0,0.0,0.0
917,Elfrid Payton,20,8,500,13383,2086,4666,190,662,674,1082,523,2007,2868,588,151,1084,1000,5036,0.447,0.287,0.623,26.8,10.1,4.0,5.7,2015,79.0,650.0,0.122
918,Dwight Powell,23,10,619,11642,1698,2817,122,416,1062,1430,996,2772,637,386,279,429,1408,4580,0.603,0.293,0.743,18.8,7.4,4.5,1.0,2015,0.0,0.0,0.0
919,Julius Randle,20,10,629,20096,4345,9235,716,2158,2549,3414,1237,5903,2317,434,264,1754,1947,11955,0.47,0.332,0.747,31.9,19.0,9.4,3.7,2015,0.0,0.0,0.0
920,Glenn Robinson III,21,7,304,5299,689,1508,193,518,233,299,204,776,238,149,58,155,281,1804,0.457,0.373,0.779,17.4,5.9,2.6,0.8,2015,0.0,0.0,0.0
921,Damjan Rudež,28,3,146,1638,175,413,106,284,24,31,18,92,84,31,7,69,143,480,0.424,0.373,0.774,11.2,3.3,0.6,0.6,2015,0.0,0.0,0.0
922,JaKarr Sampson,21,6,236,3549,483,1026,60,242,207,309,154,628,161,91,110,188,449,1233,0.471,0.248,0.67,15.0,5.2,2.7,0.7,2015,0.0,0.0,0.0
923,Marcus Smart,20,10,598,17948,2140,5534,937,2918,1136,1462,486,2099,2772,949,219,1135,1554,6353,0.387,0.321,0.777,30.0,10.6,3.5,4.6,2015,6.0,650.0,0.009
924,Russ Smith,23,2,27,131,15,47,3,16,20,26,2,15,19,8,1,19,18,53,0.319,0.188,0.769,4.9,2.0,0.6,0.7,2015,0.0,0.0,0.0
925,Nik Stauskas,21,6,343,6701,770,1981,400,1131,350,431,78,691,515,139,80,340,426,2290,0.389,0.354,0.812,19.5,6.7,2.0,1.5,2015,0.0,0.0,0.0
926,David Stockton,23,2,6,42,4,9,3,5,7,10,0,2,9,2,0,5,4,18,0.444,0.6,0.7,7.0,3.0,0.3,1.5,2015,0.0,0.0,0.0
927,Jarnell Stokes,21,3,28,151,25,43,0,0,17,32,18,40,7,7,5,7,29,67,0.581,,0.531,5.4,2.4,1.4,0.3,2015,0.0,0.0,0.0
928,Noah Vonleh,19,8,362,5854,651,1417,93,303,290,419,488,1790,264,139,144,278,645,1685,0.459,0.307,0.692,16.2,4.7,4.9,0.7,2015,0.0,0.0,0.0
929,T.J. Warren,21,8,374,10240,2256,4461,269,759,675,865,475,1493,437,349,180,361,856,5456,0.506,0.354,0.78,27.4,14.6,4.0,1.2,2015,0.0,0.0,0.0
930,David Wear,24,1,2,7,0,2,0,1,0,0,2,2,1,0,0,0,1,0,0.0,0.0,,3.5,0.0,1.0,0.5,2015,0.0,0.0,0.0
931,Travis Wear,24,2,68,900,109,281,28,77,28,34,31,144,47,19,16,41,85,274,0.388,0.364,0.824,13.2,4.0,2.1,0.7,2015,0.0,0.0,0.0
932,Shayne Whittington,23,2,27,149,24,53,1,8,19,25,15,41,9,6,3,10,25,68,0.453,0.125,0.76,5.5,2.5,1.5,0.3,2015,0.0,0.0,0.0
933,Andrew Wiggins,19,10,665,22920,4677,10427,955,2714,2219,3084,856,2965,1516,651,439,1286,1476,12528,0.449,0.352,0.72,34.5,18.8,4.5,2.3,2015,604.0,650.0,0.929
934,C.J. Wilcox,24,3,66,376,50,135,19,57,13,16,6,31,30,15,4,18,30,132,0.37,0.333,0.813,5.7,2.0,0.5,0.5,2015,0.0,0.0,0.0
935,James Young,19,4,95,812,77,210,38,137,27,48,19,96,28,24,5,15,58,219,0.367,0.277,0.563,8.5,2.3,1.0,0.3,2015,0.0,0.0,0.0
936,Cliff Alexander,20,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,0.5,,,4.5,1.3,0.8,0.0,2016,0.0,0.0,0.0
937,Justin Anderson,22,6,242,3280,454,1106,159,545,217,280,141,621,184,105,80,141,291,1284,0.41,0.292,0.775,13.6,5.3,2.6,0.8,2016,0.0,0.0,0.0
938,Thanasis Antetokounmpo,23,6,178,1423,188,372,9,62,72,134,124,301,105,50,28,98,193,457,0.505,0.145,0.537,8.0,2.6,1.7,0.6,2016,0.0,0.0,0.0
939,Keith Appling,23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,0.25,0.0,1.0,5.4,1.2,0.2,0.2,2016,0.0,0.0,0.0
940,Nemanja Bjelica,27,7,449,9172,1279,2746,498,1296,356,469,486,2051,826,288,184,459,1058,3412,0.466,0.384,0.759,20.4,7.6,4.6,1.8,2016,0.0,0.0,0.0
941,Devin Booker,19,9,555,18804,4678,10139,1141,3189,2859,3290,314,2235,2717,468,156,1710,1651,13356,0.461,0.358,0.869,33.9,24.1,4.0,4.9,2016,49.0,650.0,0.075
942,Anthony Brown,23,3,41,762,58,177,28,98,17,20,17,103,28,19,6,21,49,161,0.328,0.286,0.85,18.6,3.9,2.5,0.7,2016,0.0,0.0,0.0
943,Willie Cauley-Stein,22,7,422,9276,1552,2853,6,32,565,923,694,2470,598,350,335,384,974,3675,0.544,0.188,0.612,22.0,8.7,5.9,1.4,2016,0.0,0.0,0.0
944,Rakeem Christmas,24,2,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,0.467,,0.724,7.5,2.1,1.9,0.1,2016,0.0,0.0,0.0
945,Coty Clarke,23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,0.5,1.0,,2.0,2.0,0.3,0.0,2016,0.0,0.0,0.0
946,Pat Connaughton,23,9,507,9798,1131,2602,605,1690,224,290,359,1782,652,248,134,275,587,3091,0.435,0.358,0.772,19.3,6.1,3.5,1.3,2016,0.0,0.0,0.0
947,Branden Dawson,22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,0.4,,1.0,4.8,0.8,0.7,0.0,2016,0.0,0.0,0.0
948,Bryce Dejean-Jones,23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,0.406,0.375,0.524,19.9,5.6,3.4,1.1,2016,0.0,0.0,0.0
949,Sam Dekker,21,5,201,3097,451,944,89,309,103,170,191,607,160,101,37,98,201,1094,0.478,0.288,0.606,15.4,5.4,3.0,0.8,2016,0.0,0.0,0.0
950,Duje Dukan,24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,0.2,0.4,,24.0,6.0,4.0,1.0,2016,0.0,0.0,0.0
951,Jarell Eddie,24,3,34,218,26,86,19,65,16,17,3,31,5,7,1,2,6,87,0.302,0.292,0.941,6.4,2.6,0.9,0.1,2016,0.0,0.0,0.0
952,Cristiano Felício,23,6,252,3554,431,754,0,14,216,321,381,992,183,72,50,155,358,1078,0.572,0.0,0.673,14.1,4.3,3.9,0.7,2016,0.0,0.0,0.0
953,Jerian Grant,23,5,279,4998,593,1442,174,539,332,431,92,530,805,205,33,274,411,1692,0.411,0.323,0.77,17.9,6.1,1.9,2.9,2016,0.0,0.0,0.0
954,Montrezl Harrell,22,8,515,10545,2506,4050,9,83,1199,1807,930,2588,675,269,404,550,1058,6220,0.619,0.108,0.664,20.5,12.1,5.0,1.3,2016,0.0,0.0,0.0
955,Aaron Harrison,21,3,35,343,24,92,12,55,19,31,8,42,16,15,2,7,39,79,0.261,0.218,0.613,9.8,2.3,1.2,0.5,2016,0.0,0.0,0.0
956,Mario Hezonja,20,5,330,6107,854,2047,266,833,310,382,147,1026,415,243,80,371,549,2284,0.417,0.319,0.812,18.5,6.9,3.1,1.3,2016,0.0,0.0,0.0
957,Darrun Hilliard,22,3,91,859,104,276,31,102,56,75,7,85,71,22,3,51,74,295,0.377,0.304,0.747,9.4,3.2,0.9,0.8,2016,0.0,0.0,0.0
958,Rondae Hollis-Jefferson,21,6,305,6759,1004,2238,44,208,708,963,440,1684,579,278,162,392,620,2760,0.449,0.212,0.735,22.2,9.0,5.5,1.9,2016,0.0,0.0,0.0
959,Richaun Holmes,22,9,434,8440,1566,2594,48,176,610,823,746,2307,420,225,413,371,1101,3790,0.604,0.273,0.741,19.4,8.7,5.3,1.0,2016,0.0,0.0,0.0
960,Marcelo Huertas,32,2,76,1106,122,298,20,80,36,46,20,114,234,36,9,99,92,300,0.409,0.25,0.783,14.6,3.9,1.5,3.1,2016,0.0,0.0,0.0
961,Josh Huestis,24,3,76,1068,71,205,39,125,6,25,48,180,23,16,48,29,85,187,0.346,0.312,0.24,14.1,2.5,2.4,0.3,2016,0.0,0.0,0.0
962,R.J. Hunter,22,4,45,395,49,132,26,88,9,11,3,46,19,18,4,13,39,133,0.371,0.295,0.818,8.8,3.0,1.0,0.4,2016,0.0,0.0,0.0
963,Damien Inglis,20,1,20,156,13,37,3,13,7,8,2,31,10,6,3,11,11,36,0.351,0.231,0.875,7.8,1.8,1.6,0.5,2016,0.0,0.0,0.0
964,Stanley Johnson,19,8,449,8879,1028,2630,340,1114,410,548,253,1404,679,383,106,480,871,2806,0.391,0.305,0.748,19.8,6.2,3.1,1.5,2016,0.0,0.0,0.0
965,Nikola Jokić,20,9,631,19515,4979,8988,632,1815,2373,2866,1665,6699,4277,755,453,1806,1731,12963,0.554,0.348,0.828,30.9,20.5,10.6,6.8,2016,59.0,650.0,0.091
966,Tyus Jones,19,9,568,11232,1574,3541,469,1291,425,523,140,1097,2286,565,50,426,434,4042,0.445,0.363,0.813,19.8,7.1,1.9,4.0,2016,0.0,0.0,0.0
967,Frank Kaminsky,22,8,413,8160,1306,3034,428,1226,590,791,300,1579,651,174,146,314,609,3630,0.43,0.349,0.746,19.8,8.8,3.8,1.6,2016,0.0,0.0,0.0
968,Sasha Kaun,30,1,25,95,9,17,0,0,5,11,12,26,3,4,5,7,11,23,0.529,,0.455,3.8,0.9,1.0,0.1,2016,0.0,0.0,0.0
969,Kevon Looney,19,9,483,8679,1051,1806,10,59,369,602,1039,2760,792,250,265,288,1080,2481,0.582,0.169,0.613,18.0,5.1,5.7,1.6,2016,0.0,0.0,0.0
970,Trey Lyles,20,9,543,9860,1523,3431,511,1485,655,879,462,2352,569,204,195,454,780,4212,0.444,0.344,0.745,18.2,7.8,4.3,1.0,2016,0.0,0.0,0.0
971,Boban Marjanović,27,9,321,2837,687,1188,10,42,416,545,397,1166,152,59,95,205,342,1800,0.578,0.238,0.763,8.8,5.6,3.6,0.5,2016,0.0,0.0,0.0
972,Jarell Martin,21,4,184,2927,376,867,63,182,183,239,189,639,114,67,73,144,411,998,0.434,0.346,0.766,15.9,5.4,3.5,0.6,2016,0.0,0.0,0.0
973,T.J. McConnell,23,9,581,12595,1834,3602,140,417,330,423,318,1738,2920,715,107,937,848,4138,0.509,0.336,0.78,21.7,7.1,3.0,5.0,2016,0.0,0.0,0.0
974,Chris McCullough,20,3,59,532,78,183,15,49,23,42,41,112,15,30,19,20,54,194,0.426,0.306,0.548,9.0,3.3,1.9,0.3,2016,0.0,0.0,0.0
975,Jordan McRae,24,4,123,1696,302,724,83,234,159,206,34,225,167,45,30,87,147,846,0.417,0.355,0.772,13.8,6.9,1.8,1.4,2016,0.0,0.0,0.0
976,Salah Mejri,29,4,204,2430,280,464,12,41,121,205,259,808,94,72,190,123,382,693,0.603,0.293,0.59,11.9,3.4,4.0,0.5,2016,0.0,0.0,0.0
977,Jordan Mickey,21,3,64,482,62,138,2,17,26,43,37,128,17,9,27,28,53,152,0.449,0.118,0.605,7.5,2.4,2.0,0.3,2016,0.0,0.0,0.0
978,Luis Montero,22,2,14,50,5,20,1,9,3,4,0,6,1,0,0,6,1,14,0.25,0.111,0.75,3.6,1.0,0.4,0.1,2016,0.0,0.0,0.0
979,Emmanuel Mudiay,19,6,302,7187,1222,3051,276,855,579,778,138,884,1143,215,88,670,492,3299,0.401,0.323,0.744,23.8,10.9,2.9,3.8,2016,4.0,650.0,0.006
980,Xavier Munford,23,2,20,265,33,83,9,25,8,16,4,32,26,14,3,17,29,83,0.398,0.36,0.5,13.3,4.2,1.6,1.3,2016,0.0,0.0,0.0
981,Larry Nance Jr.,23,9,479,11209,1543,2870,186,557,462,671,914,3023,881,557,242,456,1042,3734,0.538,0.334,0.689,23.4,7.8,6.3,1.8,2016,0.0,0.0,0.0
982,Raul Neto,23,8,435,6765,935,2041,258,714,342,421,96,658,913,279,34,398,569,2470,0.458,0.361,0.812,15.6,5.7,1.5,2.1,2016,0.0,0.0,0.0
983,J.J. O'Brien,23,1,2,6,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0.0,,,3.0,0.0,0.5,0.0,2016,0.0,0.0,0.0
984,Jahlil Okafor,20,6,247,4827,1092,2016,6,27,376,556,377,1169,225,73,195,347,515,2566,0.542,0.222,0.676,19.5,10.4,4.7,0.9,2016,34.0,650.0,0.052
985,Kelly Oubre Jr.,20,9,549,14189,2530,5811,849,2561,1122,1496,532,2413,558,545,257,579,1404,7031,0.435,0.332,0.75,25.8,12.8,4.4,1.0,2016,0.0,0.0,0.0
986,Lamar Patterson,24,2,40,435,31,95,13,55,18,25,5,57,45,10,2,27,51,93,0.326,0.236,0.72,10.9,2.3,1.4,1.1,2016,0.0,0.0,0.0
987,Cameron Payne,21,9,362,6510,1088,2577,388,1062,279,338,102,771,1205,234,73,437,628,2843,0.422,0.365,0.825,18.0,7.9,2.1,3.3,2016,0.0,0.0,0.0
988,Tibor Pleiß,26,1,12,82,11,25,0,2,2,2,6,15,2,1,2,8,19,24,0.44,0.0,1.0,6.8,2.0,1.3,0.2,2016,0.0,0.0,0.0
989,Bobby Portis,20,9,558,12493,2599,5462,606,1601,634,838,1065,3902,681,318,205,601,1070,6438,0.476,0.379,0.757,22.4,11.5,7.0,1.2,2016,0.0,0.0,0.0
990,Kristaps Porziņģis,20,8,426,13245,2956,6474,779,2181,1679,2029,743,3371,752,310,778,731,1294,8370,0.457,0.357,0.828,31.1,19.6,7.9,1.8,2016,363.0,650.0,0.558
991,Norman Powell,22,9,514,11835,2174,4643,778,1990,1109,1336,189,1339,768,410,144,632,956,6235,0.468,0.391,0.83,23.0,12.1,2.6,1.5,2016,0.0,0.0,0.0
992,Willie Reed,25,3,152,1885,319,539,2,6,111,198,213,575,46,33,99,66,240,751,0.592,0.333,0.561,12.4,4.9,3.8,0.3,2016,0.0,0.0,0.0
993,Josh Richardson,22,9,528,15248,2253,5254,838,2303,831,986,365,1618,1418,548,289,713,1180,6175,0.429,0.364,0.843,28.9,11.7,3.1,2.7,2016,0.0,0.0,0.0
994,Terry Rozier,21,9,561,15412,2860,6813,1173,3194,981,1194,375,2205,1978,540,138,762,838,7874,0.42,0.367,0.822,27.5,14.0,3.9,3.5,2016,0.0,0.0,0.0
995,D'Angelo Russell,19,9,527,15712,3346,7817,1301,3581,1247,1584,263,1812,3003,566,163,1439,993,9240,0.428,0.363,0.787,29.8,17.5,3.4,5.7,2016,1.0,650.0,0.002
996,Jonathon Simmons,26,4,258,5298,786,1774,145,457,425,562,124,621,483,158,61,343,513,2142,0.443,0.317,0.756,20.5,8.3,2.4,1.9,2016,0.0,0.0,0.0
997,Alex Stepheson,28,1,8,73,9,27,0,0,4,12,19,28,2,1,5,0,12,22,0.333,,0.333,9.1,2.8,3.5,0.3,2016,0.0,0.0,0.0
998,Edy Tavares,23,2,13,101,15,24,0,0,3,11,11,32,4,1,12,7,11,33,0.625,,0.273,7.8,2.5,2.5,0.3,2016,0.0,0.0,0.0
999,Axel Toupane,23,3,33,413,34,90,15,46,18,24,8,38,19,10,10,6,52,101,0.378,0.326,0.75,12.5,3.1,1.2,0.6,2016,0.0,0.0,0.0
1000,Karl-Anthony Towns,20,9,543,18481,4588,8745,898,2272,2383,2844,1549,5992,1718,433,697,1470,1853,12457,0.525,0.395,0.838,34.0,22.9,11.0,3.2,2016,650.0,650.0,1.0
1001,Myles Turner,19,9,525,15086,2668,5338,530,1499,1292,1668,757,3580,639,364,1193,722,1570,7158,0.5,0.354,0.775,28.7,13.6,6.8,1.2,2016,3.0,650.0,0.005
