,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
40,39,Mehmet Okur,"Nov 1, '02, DET vs. MEM",23,10,634,18429,3028,6615,596,1590,1909,2396,1261,4436,1089,329,453,991,1815,8561,.458,.375,.797,29.1,13.5,7.0,1.7,2003
41,40,Chris Owens,"Apr 15, '03, MEM @ HOU",23,1,1,6,2,3,0,0,0,0,1,1,0,0,0,1,0,4,.667,,,6.0,4.0,1.0,0.0,2003
42,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2003
43,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2003
44,41,Jannero Pargo,"Oct 29, '02, LAL vs. SAS",23,11,499,7449,1228,3140,400,1124,319,369,112,701,986,250,28,560,648,3175,.391,.356,.864,14.9,6.4,1.4,2.0,2003
45,42,Smush Parker,"Oct 29, '02, CLE @ SAC",21,5,274,7069,908,2129,289,838,364,514,119,659,791,336,44,496,606,2469,.426,.345,.708,25.8,9.0,2.4,2.9,2003
46,43,Tayshaun Prince,"Oct 30, '02, DET vs. NYK",22,14,1017,31576,4583,10082,569,1550,1537,2033,1125,4332,2406,571,500,1064,1251,11272,.455,.367,.756,31.0,11.1,4.3,2.4,2003
47,44,Igor Rakočević,"Nov 1, '02, MIN vs. ORL",24,1,42,244,22,58,5,12,29,36,4,17,33,4,0,23,25,78,.379,.417,.806,5.8,1.9,0.4,0.8,2003
48,45,Efthimios Rentzias,"Nov 8, '02, PHI vs. CLE",27,1,35,144,20,59,4,8,8,9,10,26,7,6,2,4,21,52,.339,.500,.889,4.1,1.5,0.7,0.2,2003
49,46,Antoine Rigaudeau,"Jan 19, '03, DAL @ SEA",31,1,11,91,8,35,1,5,0,0,4,8,6,3,0,6,11,17,.229,.200,,8.3,1.5,0.7,0.5,2003
